epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,287.418,1.2977,1.58705,1.3291,0.87537,0.81902,0.87921,0.54915,1.12677,34.3216,1.16624,0.00998288,0.00332763,0.00998288,0.00332763,0.00998288,0.00332763,0.00998288,0.00332763
2,466.247,1.29992,1.02302,1.32989,0.8599,0.77015,0.85141,0.51175,1.21908,17.1233,1.23577,0.019785,0.00659502,0.019785,0.00659502,0.019785,0.00659502,0.019785,0.00659502
3,640.067,1.37426,1.09809,1.38518,0.73651,0.66458,0.70281,0.36935,1.45803,143.669,1.45188,0.0293892,0.00979641,0.0293892,0.00979641,0.0293892,0.00979641,0.0293892,0.00979641
4,809.325,1.3771,1.08934,1.39444,0.87938,0.79706,0.86495,0.51687,1.2453,26.0066,1.26649,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,977.859,1.31407,0.9927,1.35571,0.90746,0.814,0.89221,0.57221,1.12282,19.468,1.20241,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1149.49,1.28122,0.94523,1.3369,0.90622,0.84025,0.90645,0.57958,1.11716,13.6006,1.17951,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1320.14,1.25613,0.90828,1.31731,0.92458,0.85785,0.9208,0.60605,1.05219,10.2241,1.14526,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1491.73,1.23282,0.88145,1.30002,0.91198,0.87264,0.92701,0.60769,1.06115,22.2442,1.13135,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1662.52,1.21956,0.86739,1.29317,0.92994,0.88779,0.94173,0.63072,1.02314,16.7069,1.11331,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1833.05,1.20688,0.84382,1.28467,0.94428,0.88658,0.94448,0.63394,1.01643,9.58469,1.10842,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2002.83,1.20201,0.83226,1.2773,0.95005,0.89506,0.94874,0.64476,0.99581,6.78834,1.09363,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2172.69,1.19059,0.82052,1.27204,0.93461,0.90227,0.94676,0.65078,0.98494,13.102,1.07889,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2341.93,1.18029,0.80872,1.26537,0.95044,0.90707,0.95363,0.65803,0.9726,9.75459,1.06981,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2511.14,1.17921,0.80474,1.26304,0.94819,0.91313,0.95558,0.66042,0.9629,11.2537,1.06052,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2680.56,1.17467,0.79326,1.25636,0.9504,0.91409,0.95679,0.6657,0.9564,8.99301,1.05761,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2849.32,1.16533,0.78958,1.25393,0.95657,0.91144,0.95773,0.67123,0.94834,8.33531,1.05187,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,280.358,1.15578,0.77782,1.24798,0.95352,0.92087,0.96002,0.67255,0.94132,8.18686,1.04922,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,450.086,1.1576,0.77383,1.2451,0.95509,0.91747,0.96282,0.67536,0.93482,9.59129,1.04127,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,619.276,1.15113,0.76967,1.24023,0.94959,0.92592,0.96238,0.67865,0.93165,9.83355,1.03836,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,788.602,1.14954,0.77105,1.239,0.95538,0.92688,0.9626,0.68101,0.91946,9.29812,1.03313,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
